Latitude,Longitude,Elevation
19.05433000,72.83781000,8.0
19.05432000,72.83775000,9.0
19.05480000,72.83765000,10.0
19.05519000,72.83755000,8.0
19.05540000,72.83746000,8.0
19.05548000,72.83740000,9.0
19.05575000,72.83723000,9.0
19.05595000,72.83709000,9.0
19.05629000,72.83687000,10.0
19.05648000,72.83678000,11.0
19.05682000,72.83668000,12.0
19.05714000,72.83665000,9.0
19.05735000,72.83663000,10.0
19.05764000,72.83665000,11.0
19.05814000,72.83669000,10.0
19.05860000,72.83673000,11.0
19.05891000,72.83676000,13.0
19.05914000,72.83679000,13.0
19.05934000,72.83681000,13.0
19.05940000,72.83681000,13.0
19.05948000,72.83681000,14.0
19.05957000,72.83687000,13.0
19.05974000,72.83691000,13.0
19.05983000,72.83694000,13.0
19.05993000,72.83697000,12.0
19.06002000,72.83700000,12.0
19.06021000,72.83707000,11.0
19.06038000,72.83711000,10.0
19.06055000,72.83714000,10.0
19.06071000,72.83714000,10.0
19.06158000,72.83717000,12.0
19.06209000,72.83719000,10.0
19.06256000,72.83720000,11.0
19.06329000,72.83723000,8.0
19.06391000,72.83724000,9.0
19.06464000,72.83727000,10.0
19.06504000,72.83724000,7.0
19.06509000,72.83724000,7.0
19.06568000,72.83724000,8.0
19.06587000,72.83725000,9.0
19.06662000,72.83728000,8.0
19.06717000,72.83728000,9.0
19.06771000,72.83728000,10.0
19.06782000,72.83729000,10.0
19.06844000,72.83730000,10.0
19.06891000,72.83732000,13.0
19.06939000,72.83734000,14.0
19.06992000,72.83737000,14.0
19.07038000,72.83737000,12.0
19.07085000,72.83736000,13.0
19.07131000,72.83736000,13.0
19.07194000,72.83736000,14.0
19.07256000,72.83736000,14.0
19.07316000,72.83743000,15.0
19.07376000,72.83749000,11.0
19.07423000,72.83751000,12.0
19.07469000,72.83753000,12.0
19.07516000,72.83755000,11.0
19.07569000,72.83759000,13.0
19.07625000,72.83762000,14.0
19.07677000,72.83762000,14.0
19.07683000,72.83763000,14.0
19.07734000,72.83765000,15.0
19.07784000,72.83766000,14.0
19.07835000,72.83768000,15.0
19.07893000,72.83773000,14.0
19.07918000,72.83775000,13.0
19.07991000,72.83780000,9.0
19.08054000,72.83784000,9.0
19.08118000,72.83787000,10.0
19.08191000,72.83790000,9.0
19.08270000,72.83793000,9.0
19.08333000,72.83794000,10.0
19.08404000,72.83797000,13.0
19.08413000,72.83797000,13.0
19.08473000,72.83804000,11.0
19.08536000,72.83807000,8.0
19.08576000,72.83807000,9.0
19.08612000,72.83807000,12.0
19.08647000,72.83807000,11.0
19.08677000,72.83807000,11.0
19.08729000,72.83811000,10.0
19.08766000,72.83813000,9.0
19.08789000,72.83814000,8.0
19.08851000,72.83818000,6.0
19.08887000,72.83820000,6.0
19.08931000,72.83823000,6.0
19.08971000,72.83826000,9.0
19.08971000,72.83834000,9.0
19.08971000,72.83858000,9.0
19.08975000,72.83897000,8.0
19.08988000,72.83949000,9.0
19.09011000,72.84019000,8.0
19.09028000,72.84068000,8.0
19.09045000,72.84116000,8.0
19.09054000,72.84146000,7.0
19.09060000,72.84174000,6.0
19.09063000,72.84216000,7.0
19.09063000,72.84234000,6.0
19.09068000,72.84255000,6.0
19.09074000,72.84329000,6.0
19.09076000,72.84344000,5.0
19.09082000,72.84357000,5.0
19.09096000,72.84380000,6.0
19.09123000,72.84415000,10.0
19.09149000,72.84447000,10.0
19.09179000,72.84489000,7.0
19.09194000,72.84516000,6.0
19.09204000,72.84540000,6.0
19.09216000,72.84578000,7.0
19.09221000,72.84601000,8.0
19.09233000,72.84659000,10.0
19.09243000,72.84711000,10.0
19.09253000,72.84764000,11.0
19.09264000,72.84816000,8.0
19.09274000,72.84869000,9.0
19.09284000,72.84921000,9.0
19.09282000,72.84943000,9.0
19.09304000,72.84993000,9.0
19.09327000,72.85043000,7.0
19.09349000,72.85093000,9.0
19.09356000,72.85102000,10.0
19.09367000,72.85116000,11.0
19.09375000,72.85122000,13.0
19.09380000,72.85129000,13.0
19.09404000,72.85152000,14.0
19.09434000,72.85177000,13.0
19.09478000,72.85207000,13.0
19.09496000,72.85216000,12.0
19.09527000,72.85228000,10.0
19.09566000,72.85246000,10.0
19.09575000,72.85249000,11.0
19.09654000,72.85278000,13.0
19.09700000,72.85296000,15.0
19.09747000,72.85312000,15.0
19.09794000,72.85328000,13.0
19.09842000,72.85344000,14.0
19.09889000,72.85360000,15.0
19.09974000,72.85390000,13.0
19.09981000,72.85393000,12.0
19.10027000,72.85409000,10.0
19.10072000,72.85425000,14.0
19.10083000,72.85426000,14.0
19.10156000,72.85437000,14.0
19.10180000,72.85434000,15.0
19.10226000,72.85425000,15.0
19.10271000,72.85417000,15.0
19.10293000,72.85413000,14.0
19.10368000,72.85397000,14.0
19.10414000,72.85386000,15.0
19.10460000,72.85374000,16.0
19.10515000,72.85365000,18.0
19.10569000,72.85355000,18.0
19.10589000,72.85352000,17.0
19.10644000,72.85339000,17.0
19.10701000,72.85326000,17.0
19.10750000,72.85322000,23.0
19.10758000,72.85322000,23.0
19.10788000,72.85325000,24.0
19.10805000,72.85328000,23.0
19.10863000,72.85343000,18.0
19.10921000,72.85358000,19.0
19.10930000,72.85362000,19.0
19.10980000,72.85373000,18.0
19.11030000,72.85383000,20.0
19.11080000,72.85394000,22.0
19.11129000,72.85404000,22.0
19.11179000,72.85414000,23.0
19.11229000,72.85425000,24.0
19.11275000,72.85435000,24.0
19.11320000,72.85445000,22.0
19.11334000,72.85448000,22.0
19.11380000,72.85456000,22.0
19.11413000,72.85461000,23.0
19.11465000,72.85469000,21.0
19.11516000,72.85477000,21.0
19.11568000,72.85486000,18.0
19.11619000,72.85494000,20.0
19.11657000,72.85497000,20.0
19.11678000,72.85501000,21.0
19.11658000,72.85533000,20.0
19.11631000,72.85584000,20.0
19.11596000,72.85655000,21.0
19.11549000,72.85720000,24.0
19.11537000,72.85744000,26.0
19.11523000,72.85786000,29.0
19.11519000,72.85795000,30.0
19.11512000,72.85831000,30.0
19.11503000,72.85882000,32.0
19.11499000,72.85918000,32.0
19.11498000,72.85938000,32.0
19.11492000,72.86010000,28.0
19.11515000,72.86020000,30.0
19.11537000,72.86038000,31.0
19.11561000,72.86073000,31.0
19.11588000,72.86120000,33.0
19.11614000,72.86166000,34.0
19.11634000,72.86201000,38.0
19.11648000,72.86220000,37.0
19.11665000,72.86234000,34.0
19.11676000,72.86244000,33.0
19.11692000,72.86257000,34.0
19.11720000,72.86274000,35.0
